Identifier,Character,Dialogue,Filename,Line Number,Ren'Py Script
registration_c077c1f9,a,So... What do you want?,game/tl/russian/scene/administration.rpy,1018,"a tough ""[what]"""
registration_0b7a92c4,c,I lost my student ID.,game/tl/russian/scene/administration.rpy,1024,"c sad ""[what]"""
registration_2b59cb65,,"Another long look, this time from toe to head.",game/tl/russian/scene/administration.rpy,1030,[what]
registration_5cd78e3e,a,This is because the young people today are all reckless and careless and stupid!,game/tl/russian/scene/administration.rpy,1036,"a angry ""[what]"""
registration_9989d20f,c,At least we are not old and mean.,game/tl/russian/scene/administration.rpy,1042,"c angry ""[what]"""
registration_7eb133bc,a,{b}WHAT DID YOU JUST SAY?{/b},game/tl/russian/scene/administration.rpy,1048,"a angry ""[what]"" with vpunch"
registration_d8b0e592,c,You heard me.,game/tl/russian/scene/administration.rpy,1054,"c neutral ""[what]"""
registration_d4cf67ff,a,Too bad I cannot discipline you! Because you deserve it like nobody else.,game/tl/russian/scene/administration.rpy,1060,"a angry ""[what]"""
registration_ec2d5324,a,But maybe there will come an opportunity some beautiful day?,game/tl/russian/scene/administration.rpy,1066,"a evil ""[what]"""
registration_abecba3b,c,"Are you threatening me, sir?",game/tl/russian/scene/administration.rpy,1072,"c suspicious ""[what]"""
registration_46cb44ea,a,Not at all!,game/tl/russian/scene/administration.rpy,1078,"a friendly ""[what]"""
registration_8eacf4da,c,[RelVal],game/tl/russian/scene/administration.rpy,1084,"c sad ""[what]"""
registration_3b4f43d6,c,You are right. I am sorry. I will try not to be so 'reckless and careless and stupid' next time.,game/tl/russian/scene/administration.rpy,1090,"c sad ""[what]"""
registration_dcf16aa3,a,Are you making fun of me?,game/tl/russian/scene/administration.rpy,1096,"a suspicious ""[what]"""
registration_6cfcb630,c,"No, sir. I wouldn't dare to!",game/tl/russian/scene/administration.rpy,1102,"c neutral ""[what]"""
registration_a0ff8eaf,a,"You shouldn't, if you know what is good for you!",game/tl/russian/scene/administration.rpy,1108,"a friendly ""[what]"""
registration_043dc297,c,[RelVal],game/tl/russian/scene/administration.rpy,1114,"c happy ""[what]"""
