Identifier,Character,Dialogue,Filename,Line Number,Ren'Py Script
updater_check_914f85ca,,A new version is available! [new_version],game/tl/dutch/elements/updatescreen.rpy,7,[what]
updater_check_8f42e429,,No new Update available!,game/tl/dutch/elements/updatescreen.rpy,13,[what]
morning_choices_7c56bc00,r,I am sorry I did not listen to you.,game/tl/dutch/scene/Afterparty/Morning/consequences.rpy,7,"r sad nude ""[what]"""
morning_choices_d215b901,c,What you are talking about?,game/tl/dutch/scene/Afterparty/Morning/consequences.rpy,13,"c suspicious nude ""[what]"""
morning_choices_160d7de9,r,When you warned me about Julian.,game/tl/dutch/scene/Afterparty/Morning/consequences.rpy,19,"r angry nude ""[what]"""
morning_choices_969bd5cf,c,"Oh, that.",game/tl/dutch/scene/Afterparty/Morning/consequences.rpy,25,"c worry nude ""[what]"""
morning_choices_1c4da774,c,"Yeah, how could you?",game/tl/dutch/scene/Afterparty/Morning/consequences.rpy,31,"c shy nude ""[what]"""
morning_choices_fb74aa13,c,"I would have believed it, if I would have been in your shoes, either.",game/tl/dutch/scene/Afterparty/Morning/consequences.rpy,37,"c caution nude ""[what]"""
morning_choices_0f368688,r,Thank you for warning me about Julian.,game/tl/dutch/scene/Afterparty/Morning/consequences.rpy,43,"r neutral nude ""[what]"""
morning_choices_ed3e47dc,c,I wish I did not have to.,game/tl/dutch/scene/Afterparty/Morning/consequences.rpy,49,"c sad nude ""[what]"""
morning_choices_b3dd00be,r,I am sorry I did not trust you at first.,game/tl/dutch/scene/Afterparty/Morning/consequences.rpy,55,"r sad nude ""[what]"""
morning_choices_cfdb45af,c,I don't blame you.,game/tl/dutch/scene/Afterparty/Morning/consequences.rpy,61,"c caution nude ""[what]"""
morning_choices_8b7a5ebe,r,It is like Julian became a completely new person.,game/tl/dutch/scene/Afterparty/Morning/consequences.rpy,67,"r angry nude ""[what]"""
morning_choices_9d807fa8,c,Maybe this whole dogplay thing the headmaster did with him affected him more than we would have guessed?,game/tl/dutch/scene/Afterparty/Morning/consequences.rpy,73,"c sad nude ""[what]"""
morning_choices_b56229c4,r,That is no excuse.,game/tl/dutch/scene/Afterparty/Morning/consequences.rpy,79,"r angry nude ""[what]"""
morning_choices_3e3e066f,c,"No, it is not.",game/tl/dutch/scene/Afterparty/Morning/consequences.rpy,85,"c neutral nude ""[what]"""
morning_choices_3ff79800,r,"Thank you for letting me sleep in your bed, by the way.",game/tl/dutch/scene/Afterparty/Morning/consequences.rpy,91,"r friendly nude ""[what]"""
morning_choices_374e8990,c,I just could not let you lie there like that.,game/tl/dutch/scene/Afterparty/Morning/consequences.rpy,97,"c friendly nude ""[what]"""
morning_choices_294d0d2d,r,It was a nice thing to do.,game/tl/dutch/scene/Afterparty/Morning/consequences.rpy,103,"r friendly nude ""[what]"""
morning_1_77b461c4,,The first sunrays of the next morning wake you up.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,7,[what]
morning_1_2dabbcb8,,But you keep eyes closed.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,13,[what]
morning_1_0dd6ce11,,You can feel Ron's warm skin pressed against your own.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,19,[what]
morning_1_d853cede,,He is breathing deep and regular.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,25,[what]
morning_1_e097a55d,r,This is nice.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,31,"r friendly nude ""[what]"""
morning_1_ce74eddd,c,You are awake?,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,37,"c friendly nude ""[what]"""
morning_1_29ff2dcf,r,Hmmmm...,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,43,"r neutral nude ""[what]"""
morning_1_5b7e2ce5,,Sounds more like he is half asleep.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,49,[what]
morning_1_c7eef9ae,c,I wish this moment would last forever.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,55,"c friendly nude ""[what]"""
morning_1_b85aec2c,r,Hammm.... me too.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,61,"r friendly nude ""[what]"""
morning_1_e560d6bf,,"After a while, he raises his head.",game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,67,[what]
morning_1_60950785,r,Why did you bring me to your bed?,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,73,"r sad nude ""[what]"""
morning_1_71be9a86,c,I did not want to leave you alone.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,79,"c suspicious nude ""[what]"""
morning_1_1a712083,c,Should I have left you alone?,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,85,"c worry nude ""[what]"""
morning_1_3ff7f209,r,"No, not at all.",game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,91,"r friendly nude ""[what]"""
morning_1_e848baed,r,I am glad you did.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,97,"r shy nude ""[what]"""
morning_1_312b4645,c,Me too.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,103,"c flirt nude ""[what]"""
morning_1_701ba758,r,Thank you for letting me sleep here.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,109,"r friendly nude ""[what]"""
morning_1_440d90e3,c,I am glad you did join me here.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,115,"c happy nude ""[what]"""
morning_1_f2986d1d,c,Woudn't mind for you to join me again.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,121,"c flirt nude ""[what]"""
morning_1_ff934f1f,r,Me neither.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,127,"r friendly nude ""[what]"""
morning_1_2141c12b,r,And also ... thank you for being so kind to me.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,133,"r shy nude ""[what]"""
morning_1_61417d19,c,I wish I could have done more.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,139,"c sad nude ""[what]"""
morning_1_6b6376bb,r,You did all you could.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,145,"r sad nude ""[what]"""
morning_1_0dc9ef8e,,You can see the memory of Julian's betrayal hurts him again.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,151,[what]
morning_1_b43d2ed1,r,Thank you.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,157,"r friendly nude ""[what]"""
morning_1_534aeb86,,He looks over to Julian's empty bed.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,163,[what]
morning_1_6cec01cf,r,I am glad he is not here now.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,169,"r caution nude ""[what]"""
morning_1_83ff6cf8,r,I couldn't stand him right now.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,175,"r angry nude ""[what]"""
morning_1_6481afd1,c,Don't think of it.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,181,"c neutral nude ""[what]"""
morning_1_b39ebb29,r,You are right.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,187,"r neutral nude ""[what]"""
morning_1_1ef64802,r,I think I will take a shower.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,193,"r friendly nude ""[what]"""
morning_1_60e037b9,c,Okay.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,199,"c neutral nude ""[what]"""
morning_1_d3104c48,c,Would mind me brush my teeth at the same time.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,205,"c shy nude ""[what]"""
morning_1_82b110d0,r,No... not at all.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,211,"r suspicious nude ""[what]"""
morning_1_bf453af5,,"You hear the sound of the shower, with Ron just an arm length away.",game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,217,[what]
morning_1_a85eb843,,Maybe you could join him?,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,223,[what]
morning_1_664e89b4,c,You mind if I join you?,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,229,"c friendly nude ""[what]"""
morning_1_fa7a2b59,r,What? Oh... no. Not at all.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,235,"r surprised nude ""[what]"""
morning_1_2f51eacc,r,I would like that.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,241,"r desire nude ""[what]"""
morning_1_20d5dafd,r,[RelVal],game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,247,"r friendly ""[what]"""
morning_1_df55551f,r,What are you doing?,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,253,"r surprised nude ""[what]"""
morning_1_ede6f4ae,c,Sorry. I ... I just thought...,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,259,"c worry nude ""[what]"""
morning_1_98c5c584,r,Get out of here!,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,265,"r angry nude ""[what]"""
morning_1_21779088,r,And I thought you were different.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,271,"r sad nude ""[what]"""
morning_1_cf4665a5,r,But you are just like Julian!,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,277,"r angry nude ""[what]"""
morning_1_5bfe480c,c,Sorry. I did not mean to...,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,283,"c sad nude ""[what]"""
morning_1_63410749,r,Will you go already?,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,289,"r angry nude ""[what]"""
morning_1_e332e0c6,r,[RelVal],game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,295,"r sad ""[what]"""
morning_1_ca5c2266,c,"Alright, I'll wait outside until you are finished.",game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,301,"c neutral nude ""[what]"""
morning_1_20d7989e,,Ron does not answer.,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,307,[what]
morning_1_fdb36e73,,Maybe he did not hear you due to the showering sound?,game/tl/dutch/scene/Afterparty/Morning/morning_1.rpy,313,[what]
morning_2_ad08d250,c,Ummm morning Ron?,game/tl/dutch/scene/Afterparty/Morning/morning_2.rpy,7,"c caution nude ""[what]"""
morning_2_9cd1c510,,Ron doesn't answer he just nods his head and heads to the bathroom.,game/tl/dutch/scene/Afterparty/Morning/morning_2.rpy,13,[what]
morning_2_8a8261cc,j,"I saw that, he doesn't look happy",game/tl/dutch/scene/Afterparty/Morning/morning_2.rpy,19,"j sad nude ""[what]"""
morning_2_4812b593,c,Yeah ... he's different today,game/tl/dutch/scene/Afterparty/Morning/morning_2.rpy,25,"c suspicious nude ""[what]"""
