Identifier,Character,Dialogue,Filename,Line Number,Ren'Py Script
updater_check_914f85ca,,A new version is available! [new_version],game/tl/russian/elements/updatescreen.rpy,7,[what]
updater_check_8f42e429,,No new Update available!,game/tl/russian/elements/updatescreen.rpy,13,[what]
headmaster_bio_a5c468ed,H,"I see you did start the wrestling tournament, but did not finish it yet?",game/tl/russian/scene/biography/headmaster_bio.rpy,187,"H neutral ""[what]"""
headmaster_bio_629bfbea,H,I suggest you go back to the gym right now!,game/tl/russian/scene/biography/headmaster_bio.rpy,193,"H angry ""[what]"""
headmaster_bio_afdcd377,H,Congratulations again for winning the wrestling tournament!,game/tl/russian/scene/biography/headmaster_bio.rpy,199,"H happy ""[what]"""
headmaster_bio_e2d3c983,H,It is not just about winning though!,game/tl/russian/scene/biography/headmaster_bio.rpy,205,"H sad ""[what]"""
headmaster_bio_fa51e8a0,H,You missed the chance to fully embrace your victory by your pathetic protest.,game/tl/russian/scene/biography/headmaster_bio.rpy,211,"H angry ""[what]"""
headmaster_bio_f773900e,H,I am glad you also embraced the honor to strip in front ot the school and enjoyed the appreciation.,game/tl/russian/scene/biography/headmaster_bio.rpy,217,"H happy ""[what]"""
headmaster_bio_eeeef681,H,You truly earned it.,game/tl/russian/scene/biography/headmaster_bio.rpy,223,"H ""[what]"""
headmaster_bio_a2859391,H,I am very disappointed in you for losing the wrestling match!,game/tl/russian/scene/biography/headmaster_bio.rpy,229,"H sad ""[what]"""
headmaster_bio_7527e6f3,H,"You truly were defeated, judging by how embarrassing Max and Vincent had to drag you to the rope.",game/tl/russian/scene/biography/headmaster_bio.rpy,235,"H sad ""[what]"""
headmaster_bio_d7d95212,H,"Not only in the match, but mentally as well.",game/tl/russian/scene/biography/headmaster_bio.rpy,241,"H neutral ""[what]"""
headmaster_bio_93963aab,H,We cannot always win. What is truly important is how we deal with a defeat.,game/tl/russian/scene/biography/headmaster_bio.rpy,247,"H neutral ""[what]"""
headmaster_bio_fc4fec1a,H,"And in this regard, you really set a positive example here.",game/tl/russian/scene/biography/headmaster_bio.rpy,253,"H happy ""[what]"""
headmaster_bio_5bca20ea,H,"You did not just accept your defeat, but you accepted the consequences with your head held high.",game/tl/russian/scene/biography/headmaster_bio.rpy,259,"H neutral ""[what]"""
headmaster_bio_a5a6f536,H,"I am proud of you, besides your poor performance.",game/tl/russian/scene/biography/headmaster_bio.rpy,265,"H happy ""[what]"""
headmaster_bio_237716ea,H,"By quitting early at the wrestling ceremony, you did not only set a bad example.",game/tl/russian/scene/biography/headmaster_bio.rpy,271,"H angry ""[what]"""
headmaster_bio_4db2652d,H,You also lost the opportunity to gain some important experiences!,game/tl/russian/scene/biography/headmaster_bio.rpy,277,"H ""[what]"""
headmaster_bio_c0431151,H,I did not know it is even possible to cum with your chastity cage in place!,game/tl/russian/scene/biography/headmaster_bio.rpy,285,"H desire ""[what]"""
headmaster_bio_28075523,H,I guess more scientific research is in order regarding this matter.,game/tl/russian/scene/biography/headmaster_bio.rpy,291,"H evil ""[what]"""
headmaster_bio_dc30a677,H,It is very unfortunate Nathan wasn't able to keep his mouth shut!,game/tl/russian/scene/biography/headmaster_bio.rpy,297,"H angry ""[what]"""
