Identifier,Character,Dialogue,Filename,Line Number,Ren'Py Script
updater_check_914f85ca,,A new version is available! [new_version],game/tl/french/elements/updatescreen.rpy,7,[what]
updater_check_8f42e429,,No new Update available!,game/tl/french/elements/updatescreen.rpy,13,[what]
registration_07bf2b34,,"Knock, knock",game/tl/french/scene/administration.rpy,953,[what]
registration_07bf2b34_1,,"Knock, knock",game/tl/french/scene/administration.rpy,959,[what]
registration_07bf2b34_2,,"Knock, knock",game/tl/french/scene/administration.rpy,965,[what]
registration_ecc5552a,a,What is it?,game/tl/french/scene/administration.rpy,971,"a neutral ""[what]"""
registration_50bc2b6f,c,May I come in?,game/tl/french/scene/administration.rpy,977,"c shy ""[what]"""
registration_16ab8548,a,Would that cause you to STOP KNOCKING ON MY DOOR?,game/tl/french/scene/administration.rpy,983,"a neutral ""[what]"""
registration_3830cadb,c,"Sorry, sir. I did not mean to disturb you.",game/tl/french/scene/administration.rpy,989,"c sad ""[what]"""
registration_cd92aa22,a,"And yet here you are, disturbing me.",game/tl/french/scene/administration.rpy,995,"a angry ""[what]"""
registration_b8150aec,c,...,game/tl/french/scene/administration.rpy,1001,"c suspicious ""[what]"""
registration_f3af629f,a,What are you waiting for? Take a seat!,game/tl/french/scene/administration.rpy,1007,"a angry ""[what]"""
registration_85f07f16,c,Thank you sir.,game/tl/french/scene/administration.rpy,1013,"c neutral ""[what]"""
registration_a31537d5,,"The seat of the chair is hard and unyielding, not unlike the cold expression on the administrator's face.",game/tl/french/scene/administration.rpy,1019,[what]
registration_e353870e,a,Don't waste my time. What do you want?,game/tl/french/scene/administration.rpy,1025,"a neutral ""[what]"""
registration_57cc96ac,c,Is this the administration office?,game/tl/french/scene/administration.rpy,1031,"c neutral ""[what]"""
registration_72862bc0,,The administrator locked his eyes on yours for what felt like an eternity.,game/tl/french/scene/administration.rpy,1037,[what]
registration_6378d7d1,a,Did you read the sign on my door?,game/tl/french/scene/administration.rpy,1043,"a neutral ""[what]"""
registration_3f87a3f4,c,"Yes, sir.",game/tl/french/scene/administration.rpy,1049,"c suspicious ""[what]"""
registration_eb7a2bff,a,What does it say?,game/tl/french/scene/administration.rpy,1055,"a neutral ""[what]"""
registration_fe3ed76b,c,Administration.,game/tl/french/scene/administration.rpy,1061,"c sad ""[what]"""
registration_9a521b9d,a,I was wondering: Maybe you cannot read?,game/tl/french/scene/administration.rpy,1067,"a suspicious ""[what]"""
registration_0ef8b86a,a,"Since you CAN read, why do you have to ask?",game/tl/french/scene/administration.rpy,1073,"a friendly ""[what]"""
registration_bed68605,c,Uhm...,game/tl/french/scene/administration.rpy,1079,"c neutral ""[what]"""
registration_c077c1f9,a,So... What do you want?,game/tl/french/scene/administration.rpy,1085,"a tough ""[what]"""
registration_0b7a92c4,c,I lost my student ID.,game/tl/french/scene/administration.rpy,1091,"c sad ""[what]"""
registration_2b59cb65,,"Another long look, this time from toe to head.",game/tl/french/scene/administration.rpy,1097,[what]
registration_5cd78e3e,a,This is because the young people today are all reckless and careless and stupid!,game/tl/french/scene/administration.rpy,1103,"a angry ""[what]"""
registration_9989d20f,c,At least we are not old and mean.,game/tl/french/scene/administration.rpy,1109,"c angry ""[what]"""
registration_7eb133bc,a,WHAT DID YOU JUST SAY?,game/tl/french/scene/administration.rpy,1115,"a angry ""[what]"" with vpunch"
registration_d8b0e592,c,You heard me.,game/tl/french/scene/administration.rpy,1121,"c neutral ""[what]"""
registration_d4cf67ff,a,Too bad I cannot discipline you! Because you deserve it like nobody else.,game/tl/french/scene/administration.rpy,1127,"a angry ""[what]"""
registration_ec2d5324,a,But maybe there will come an opportunity some beautiful day?,game/tl/french/scene/administration.rpy,1133,"a evil ""[what]"""
registration_abecba3b,c,"Are you threatening me, sir?",game/tl/french/scene/administration.rpy,1139,"c suspicious ""[what]"""
registration_46cb44ea,a,Not at all!,game/tl/french/scene/administration.rpy,1145,"a friendly ""[what]"""
registration_8eacf4da,c,[RelVal],game/tl/french/scene/administration.rpy,1151,"c sad ""[what]"""
registration_3b4f43d6,c,You are right. I am sorry. I will try not to be so 'reckless and careless and stupid' next time.,game/tl/french/scene/administration.rpy,1157,"c sad ""[what]"""
registration_dcf16aa3,a,Are you making fun of me?,game/tl/french/scene/administration.rpy,1163,"a suspicious ""[what]"""
registration_6cfcb630,c,"No, sir. I wouldn't dare to!",game/tl/french/scene/administration.rpy,1169,"c neutral ""[what]"""
registration_a0ff8eaf,a,"You shouldn't, if you know what is good for you!",game/tl/french/scene/administration.rpy,1175,"a friendly ""[what]"""
registration_043dc297,c,[RelVal],game/tl/french/scene/administration.rpy,1181,"c happy ""[what]"""
registration_5418e7b2,c,...,game/tl/french/scene/administration.rpy,1187,"c neutral ""[what]"""
registration_95511e03,a,Very well.,game/tl/french/scene/administration.rpy,1193,"a neutral ""[what]"""
