Identifier,Character,Dialogue,Filename,Line Number,Ren'Py Script
updater_check_914f85ca,,A new version is available! [new_version],game/tl/deutsch/elements/updatescreen.rpy,21,[what]
updater_check_8f42e429,,No new Update available!,game/tl/deutsch/elements/updatescreen.rpy,27,[what]
registration_07bf2b34,,"Klopf, klopf.",game/tl/deutsch/scene/administration.rpy,7,[what]
registration_07bf2b34_1,,"Klopf, klopf.",game/tl/deutsch/scene/administration.rpy,13,[what]
registration_07bf2b34_2,,"Klopf, klopf.",game/tl/deutsch/scene/administration.rpy,19,[what]
admin_bio_72ef15e0,,Relationship = [LoveAdmin],game/tl/deutsch/scene/biography/admin_bio.rpy,7,[what]
admin_bio_3009584a,A,There you are!,game/tl/deutsch/scene/biography/admin_bio.rpy,13,"A angry ""[what]"""
admin_bio_b418c1cd,A,What was your name again?,game/tl/deutsch/scene/biography/admin_bio.rpy,19,"A suspicious ""[what]"""
admin_bio_71dc9c19,A,"[name], if am not mistaken.",game/tl/deutsch/scene/biography/admin_bio.rpy,25,"A ""[what]"""
admin_bio_66861aa3,A,"[age] years old, and still not able to keep his belongings together.",game/tl/deutsch/scene/biography/admin_bio.rpy,31,"A angry ""[what]"""
admin_bio_1f2a05e7,A,Did you loose something again?,game/tl/deutsch/scene/biography/admin_bio.rpy,37,"A angry ""[what]"""
admin_bio_2c0d9083,A,"[name] is it, am I right?",game/tl/deutsch/scene/biography/admin_bio.rpy,43,"A neutral ""[what]"""
admin_bio_22f60132,A,The [age] years old second year student.,game/tl/deutsch/scene/biography/admin_bio.rpy,49,"A suspicious ""[what]"""
admin_bio_7a9aeabb,A,How are you?,game/tl/deutsch/scene/biography/admin_bio.rpy,55,"A happy ""[what]"""
admin_bio_37fc0a65,A,"You haven't lost anything again, have you?",game/tl/deutsch/scene/biography/admin_bio.rpy,61,"A ""[what]"""
admin_bio_fe24cf85,A,That's just because the young people today are all reckless and careless and stupid!,game/tl/deutsch/scene/biography/admin_bio.rpy,67,"A angry ""[what]"""
admin_bio_95f15739,C,At least we are not old and mean.,game/tl/deutsch/scene/biography/admin_bio.rpy,73,"C angry ""[what]"""
admin_bio_934e7a95,C,You are right.,game/tl/deutsch/scene/biography/admin_bio.rpy,79,"C sad ""[what]"""
admin_bio_246882da,A,Of course I am right!,game/tl/deutsch/scene/biography/admin_bio.rpy,85,"A happy ""[what]"""
admin_bio_ca1404ce,A,But it is good you can see that.,game/tl/deutsch/scene/biography/admin_bio.rpy,91,"A flirt ""[what]"""
admin_bio_6002c6bb,A,Not everyone can.,game/tl/deutsch/scene/biography/admin_bio.rpy,97,"A angry ""[what]"""
admin_bio_31285a54,,You shrug your shoulders.,game/tl/deutsch/scene/biography/admin_bio.rpy,103,[what]
admin_bio_4726f817,A,I see you agree.,game/tl/deutsch/scene/biography/admin_bio.rpy,109,"A angry ""[what]"""
admin_bio_8559db78,A,I did not forget how disrespectful you have been last time we met.,game/tl/deutsch/scene/biography/admin_bio.rpy,115,"A angry ""[what]"""
admin_bio_af1d5351,A,I really would like to teach you some respect some day!,game/tl/deutsch/scene/biography/admin_bio.rpy,121,"A flirt ""[what]"""
admin_bio_07d23918,A,It is good to see some people are able to see their misteps.,game/tl/deutsch/scene/biography/admin_bio.rpy,127,"A flirt ""[what]"""
admin_bio_24f3e771,A,Maybe there is still hope for your soul after all.,game/tl/deutsch/scene/biography/admin_bio.rpy,133,"A ""[what]"""
admin_bio_1caf824e,A,You did not react to my statement last time.,game/tl/deutsch/scene/biography/admin_bio.rpy,139,"A suspicious ""[what]"""
admin_bio_dfcded81,A,"I assume you agree with me then that young people are all reckless, and careless, and stupid!",game/tl/deutsch/scene/biography/admin_bio.rpy,145,"A angry ""[what]"""
admin_bio_24f8a0cf,A,Did you read the flyer already I gave you?,game/tl/deutsch/scene/biography/admin_bio.rpy,151,"A happy ""[what]"""
admin_bio_69513927,A,This was the first step. Now you need to act on it.,game/tl/deutsch/scene/biography/admin_bio.rpy,157,"A ""[what]"""
admin_bio_42ade302,A,"If you need any help pursuing you path back to God, I can help you with it.",game/tl/deutsch/scene/biography/admin_bio.rpy,163,"A flirt ""[what]"""
admin_bio_1142bf02,A,You made a big mistake by not accepting the flyer I offered you.,game/tl/deutsch/scene/biography/admin_bio.rpy,169,"A angry ""[what]"""
admin_bio_15bee985,A,"Only with the help of the Lord, you can stray from your sinful ways.",game/tl/deutsch/scene/biography/admin_bio.rpy,175,"A sad ""[what]"""
admin_bio_db6287d9,A,"If you ever change your mind, I may help you find back to the rightful path.",game/tl/deutsch/scene/biography/admin_bio.rpy,181,"A flirt ""[what]"""
admin_bio_0720820e,A,I am not sure. Did you take the flyer I offered you?,game/tl/deutsch/scene/biography/admin_bio.rpy,187,"A suspicious ""[what]"""
admin_bio_a0a9055e,A,That was a good decision!,game/tl/deutsch/scene/biography/admin_bio.rpy,193,"A happy ""[what]"""
admin_bio_3f3bbde9,A,That was very stupid of you!,game/tl/deutsch/scene/biography/admin_bio.rpy,199,"A angry ""[what]"""
admin_bio_058c747c,A,"If you are open to the Love of God, and willing to revoke your sinful ways, I might be able to help you.",game/tl/deutsch/scene/biography/admin_bio.rpy,205,"A angry ""[what]"""
admin_bio_c88d3a3a,A,But you must want it for yourself.,game/tl/deutsch/scene/biography/admin_bio.rpy,211,"A sad ""[what]"""
admin_bio_bad749f6,A,I have been told you wanted to talk to me?,game/tl/deutsch/scene/biography/admin_bio.rpy,217,"A suspicious ""[what]"""
admin_bio_a6fd59e4,A,Just to be clear: I won't just alter you marks!,game/tl/deutsch/scene/biography/admin_bio.rpy,223,"A angry ""[what]"""
admin_bio_de1ea6af,A,You will have to earn it!,game/tl/deutsch/scene/biography/admin_bio.rpy,229,"A flirt ""[what]"""
admin_bio_579494c2,A,I don't have any more time for this.,game/tl/deutsch/scene/biography/admin_bio.rpy,235,"A angry ""[what]"""
admin_bio_20a7febb,A,"Meet me at my office, during the opening times, if you need anything.",game/tl/deutsch/scene/biography/admin_bio.rpy,241,"A neutral ""[what]"""
admin_bio_583c6d26,A,"And don't hammer my door again, like you did last time!",game/tl/deutsch/scene/biography/admin_bio.rpy,247,"A angry ""[what]"""
connor_bio_a45d6422,C,"Hi, my name is [name].",game/tl/deutsch/scene/biography/connor_bio.rpy,165,"C friendly ""[what]"""
connor_bio_c7204e3b,C,I study [Subject].,game/tl/deutsch/scene/biography/connor_bio.rpy,171,"C neutral ""[what]"""
connor_bio_36df6abd,C,I know this isn't a subject likely make me rich.,game/tl/deutsch/scene/biography/connor_bio.rpy,177,"C sad ""[what]"""
connor_bio_630cacca,C,"I mean, yeah, it's true that my parents are rich.",game/tl/deutsch/scene/biography/connor_bio.rpy,183,"C tough ""[what]"""
connor_bio_0abaf6ba,C,And I know what you're thinking right now!,game/tl/deutsch/scene/biography/connor_bio.rpy,189,"C angry ""[what]"""
connor_bio_058c2507,C,"\""The snowflake with rich parents thinks he's an artist now!\""",game/tl/deutsch/scene/biography/connor_bio.rpy,195,"C ""[what]"""
connor_bio_e30dbf33,C,"But it's not that simple. Trust me, I'm not just some wastrel, a rich dilettante wasting my parents money for the fun of it.",game/tl/deutsch/scene/biography/connor_bio.rpy,201,"C ""[what]"""
connor_bio_382cac42,C,"I have no contact with them, not since I told them I'm going to study art.",game/tl/deutsch/scene/biography/connor_bio.rpy,207,"C sad ""[what]"""
connor_bio_0d3aad72,C,"No support, nothing. They even went so far as to disinherit me.",game/tl/deutsch/scene/biography/connor_bio.rpy,213,"C angry ""[what]"""
connor_bio_f956c1da,C,"It's a scare tactic, they've always tried to control me with their money. They thought I'd come crawling back to them, agree to change my degree to something they approve-of.",game/tl/deutsch/scene/biography/connor_bio.rpy,219,"C angry ""[what]"""
connor_bio_2b860119,C,I know what you must be thinking!,game/tl/deutsch/scene/biography/connor_bio.rpy,225,"C laugh ""[what]"""
connor_bio_6861a10e,C,"\""How boring!\""",game/tl/deutsch/scene/biography/connor_bio.rpy,231,"C neutral ""[what]"""
connor_bio_3a65adab,C,We'll see if the tune changes once I'm running a billion-dollar hedge fund on Wall Street!,game/tl/deutsch/scene/biography/connor_bio.rpy,237,"C evil ""[what]"""
connor_bio_c9abab9e,C,"If money makes the world go round, then you've gotta have some if you want to make some positive change.",game/tl/deutsch/scene/biography/connor_bio.rpy,243,"C friendly ""[what]"""
connor_bio_7201eee8,C,"I am a passionate swimmer. When I'm in the water, I feel free as a dolphin.",game/tl/deutsch/scene/biography/connor_bio.rpy,249,"C friendly ""[what]"""
connor_bio_1a78fb6f,C,"I have some hopes and goals, for after college. My biggest goal is to make it to Olympics one day.",game/tl/deutsch/scene/biography/connor_bio.rpy,255,"C neutral ""[what]"""
connor_bio_9d48223c,C,"Plus, I've been told I look good in a speedo!",game/tl/deutsch/scene/biography/connor_bio.rpy,261,"C laugh ""[what]"""
connor_bio_0c450cab,C,"I know, I may not look like the stereotypical Literature student.",game/tl/deutsch/scene/biography/connor_bio.rpy,267,"C laugh ""[what]"""
connor_bio_e9e91781,C,"Bookworm I may be, but I also enjoy playing sports. Oh, and I don't wear glasses.",game/tl/deutsch/scene/biography/connor_bio.rpy,273,"C flirt ""[what]"""
connor_bio_02731080,C,"So, not exactly fitting the profile of the typical Literature student, I guess.",game/tl/deutsch/scene/biography/connor_bio.rpy,279,"C friendly ""[what]"""
connor_bio_df3fdce1,C,"Still, it is a fascinating topic. I love reading. From Mark Twain to Dostoevsky, there's so much truth at our fingertips when we hold a book in our hands.",game/tl/deutsch/scene/biography/connor_bio.rpy,285,"C flirt ""[what]"""
connor_bio_c78bd8bb,C,"My dream is to write a best-selling book of my own someday. When inspiration strikes, I intend to be ready to catch that lightening.",game/tl/deutsch/scene/biography/connor_bio.rpy,291,"C happy ""[what]"""
connor_bio_a117d827,C,There is a very personal reason I study engineering.,game/tl/deutsch/scene/biography/connor_bio.rpy,297,"C sad ""[what]"""
connor_bio_1e4f1e02,C,My...my parents died on a collapsing bridge.,game/tl/deutsch/scene/biography/connor_bio.rpy,303,"C ""[what]"""
connor_bio_0fdb0df2,C,"And I ... I want to understand, how it could have happened. So that it never happens again.",game/tl/deutsch/scene/biography/connor_bio.rpy,309,"C tough ""[what]"""
connor_bio_799690d3,C,"I know it sounds silly, or perhaps sentimental, but I want to become an engineer so that I can make ensure bridges and other kinds of structures are safe and stable.",game/tl/deutsch/scene/biography/connor_bio.rpy,315,"C shy ""[what]"""
headmaster_bio_64957980,H,"Your marks are truly horrendous, [name]!",game/tl/deutsch/scene/biography/headmaster_bio.rpy,189,"H evil ""[what]"""
headmaster_bio_81bf3bfb,H,"I wonder just how far you'll go, to improve them before it's too late?",game/tl/deutsch/scene/biography/headmaster_bio.rpy,195,"H suspicious ""[what]"""
headmaster_bio_8f2c3203,H,"I should consider expulsion, considering your obvious lack of effort. However, I am nothing if not merciful.",game/tl/deutsch/scene/biography/headmaster_bio.rpy,201,"H evil ""[what]"""
headmaster_bio_cb605e2d,H,Maybe we should have another confidential meeting at my office?,game/tl/deutsch/scene/biography/headmaster_bio.rpy,207,"H desire ""[what]"""
headmaster_bio_400f0832,H,"Your marks are bad, but not terrible either. Yet another mediocre young man, adrift and aimless. You have potential, but are waisting it.",game/tl/deutsch/scene/biography/headmaster_bio.rpy,213,"H tough ""[what]"""
headmaster_bio_6bcb5ce9,H,"Continue down this path and you're gonna fail. The end of this semester is fast approaching, you'd better find a way to improve your grades quickly!",game/tl/deutsch/scene/biography/headmaster_bio.rpy,219,"H evil ""[what]"""
headmaster_bio_96171cb2,H,Maybe we should have another confidential meeting at my office?,game/tl/deutsch/scene/biography/headmaster_bio.rpy,225,"H ""[what]"""
headmaster_bio_a6a63ed3,H,"Your marks have impoved. Just imagine my surprise. Keep it up, [name].",game/tl/deutsch/scene/biography/headmaster_bio.rpy,231,"H friendly ""[what]"""
headmaster_bio_a80aa7db,H,Your current grade average is [PlayerMark],game/tl/deutsch/scene/biography/headmaster_bio.rpy,237,"H neutral ""[what]"""
headmaster_bio_bd36c187,H,I quite liked your little striptease. Just the right amount of nervous hesitation and reluctant submission.,game/tl/deutsch/scene/biography/headmaster_bio.rpy,243,"H sexy ""[what]"""
headmaster_bio_44651bf2,H,"We should arrange a repeat performance of it, very soon.",game/tl/deutsch/scene/biography/headmaster_bio.rpy,249,"H desire ""[what]"""
headmaster_bio_85d190c3,H,"You think someone saw you through the window, when you removed your underwear for me?",game/tl/deutsch/scene/biography/headmaster_bio.rpy,255,"H laugh ""[what]"""
headmaster_bio_84cb01e7,H,"How did you like kissing an older man? If you'd like to do it again some time, I'm sure that I could arrange it.",game/tl/deutsch/scene/biography/headmaster_bio.rpy,261,"H flirt ""[what]"""
headmaster_bio_71fa09ea,H,One thing I keep wondering about:,game/tl/deutsch/scene/biography/headmaster_bio.rpy,267,"H friendly ""[what]"""
