Identifier,Character,Dialogue,Filename,Line Number,Ren'Py Script
Bar_Connor_cc8ebaee,c,Let's do the interview!,game/tl/portuguese/scene/News/beach/Bar_Connor.rpy,7,"c happy ""[what]"""
Bar_Connor_5932c1a5,t,Let's talk to the others first before I talk to you. Okay?,game/tl/portuguese/scene/News/beach/Bar_Connor.rpy,13,"t neutral ""[what]"""
Bar_Connor_561d5d7e,c,Sure.,game/tl/portuguese/scene/News/beach/Bar_Connor.rpy,19,"c sad ""[what]"""
Bar_Julian_99f7e164,j,Coming soon!,game/tl/portuguese/scene/News/beach/bar_julian.rpy,7,"j sad ""[what]"""
Bar_Julio_6f906dfd,jc,That was... intense.,game/tl/portuguese/scene/News/beach/bar_julio.rpy,7,"jc suspicious ""[what]"""
Bar_Julio_a3a6df05,jc,I hope you don't mind if I continue my sunbath.,game/tl/portuguese/scene/News/beach/bar_julio.rpy,13,"jc friendly ""[what]"""
Bar_Julio_73cae028,jc,Alone.,game/tl/portuguese/scene/News/beach/bar_julio.rpy,19,"jc suspicious ""[what]"""
Bar_Julio_1f49bb5a,,"The morning sun casts a lazy, golden hue over the beach, the sound of gentle waves creating a rhythmic backdrop.",game/tl/portuguese/scene/News/beach/bar_julio.rpy,25,[what]
Bar_Julio_46c6cb50,,"You follow Tom as he approaches Julio, who's lounging on a beach chair under the shade of a brightly colored parasol.",game/tl/portuguese/scene/News/beach/bar_julio.rpy,31,[what]
Bar_Julio_e840eb59,,"A cooling box sits beside him, a can of cola perched on top, beads of condensation trickling down its side.",game/tl/portuguese/scene/News/beach/bar_julio.rpy,37,[what]
Bar_Julio_5dd0ac41,,"Julio looks up, his relaxed demeanor shifting to annoyance as he spots Tom and the camera in your hands.",game/tl/portuguese/scene/News/beach/bar_julio.rpy,43,[what]
Bar_Julio_ce78e3df,,You can't help but feel a twinge of sympathy; it's clear he wasn't expecting this intrusion.,game/tl/portuguese/scene/News/beach/bar_julio.rpy,49,[what]
Bar_Julio_262fa109,t,"You are Julio, right?",game/tl/portuguese/scene/News/beach/bar_julio.rpy,55,"t happy ""[what]"""
